CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS90 Y;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
20002AS;2;ARGANZUELA;CALLE;FERROCARRIL;1;;441077.37;4472466.17;43038;-3.6943594;40.40072;CALLE FERROCARRIL,1
20006AS;2;ARGANZUELA;PASEO;YESERIAS;44;;440011.97;4472107.71;43045;-3.7068797;40.3974147;PASEO YESERIAS,44
20009AS;2;ARGANZUELA;PASEO;JUAN ANTONIO VALLEJO-NÁJERA;15;;440176.88;4472528.56;43059;-3.7049761;40.4012178;PASEO JUAN ANTONIO VALLEJO-NÁJERA,15
20007AS;2;ARGANZUELA;PASEO;CHOPERA;33;;440581.98;4471797.53;43062;-3.7001344;40.3946613;PASEO CHOPERA,33
20008AS;2;ARGANZUELA;CALLE;MAESTRO ARBOS;3;PLAZA LEGAZPI;441023.20;4471332.67;43063;-3.6948927;40.390505;CALLE MAESTRO ARBOS,3
20004AS;2;ARGANZUELA;GLORIETA;SANTA MARIA DE LA CABEZA;13;;440606.00;4472494.28;43088;-3.6999164;40.4009397;GLORIETA SANTA MARIA DE LA CABEZA,13
20001AS;2;ARGANZUELA;CALLE;MENDEZ ALVARO ;2;;441216.20;4473171.35;43166;-3.6927886;40.4070824;CALLE MENDEZ ALVARO ,2
20055AS;2;ARGANZUELA;CALLE;VILLARROBLEDO;15;;442187.38;4471581.68;43172;-3.6811993;40.3928298;CALLE VILLARROBLEDO,15
20025AS;2;ARGANZUELA;CALLE;TOLEDO;127;;439607.82;4473074.09;43193;-3.7117334;40.4060911;CALLE TOLEDO,127
20039AS;3;RETIRO;PASEO;INFANTA ISABEL;9;;441506.66;4473234.04;42863;-3.6893715;40.4076676;PASEO INFANTA ISABEL,9
20094AS;3;RETIRO;PLAZA;CONDE DE CASAL;7;;443143.45;4473054.18;43068;-3.6700663;40.4061607;PLAZA CONDE DE CASAL,7
20092AS;3;RETIRO;PLAZA;NIÑO JESUS;1;;442657.53;4473635.80;43176;-3.675845;40.4113669;PLAZA NIÑO JESUS,1
20049AS;3;RETIRO;CALLE;JUAN ESPLANDIU;2;;443765.25;4474132.69;43285;-3.6628341;40.4159188;CALLE JUAN ESPLANDIU,2
20029AS;3;RETIRO;CALLE;DOCTOR ESQUERDO;66;;443156.45;4473980.16;43405;-3.6699959;40.4145033;CALLE DOCTOR ESQUERDO,66
20097AS;4;SALAMANCA;CALLE;SERRANO;32;;441623.85;4475185.29;42718;-3.6881695;40.4252537;CALLE SERRANO,32
20095AS;4;SALAMANCA           ;AVENIDA;FELIPE II;12;;442661.89;4475023.17;42709;-3.6759187;40.4238654;AVENIDA FELIPE II,12
20099AS;4;SALAMANCA;PLAZA;MANUEL BECERRA;7;;443253.38;4475546.39;42863;-3.6689932;40.4286194;PLAZA MANUEL BECERRA,7
20026AS;4;SALAMANCA;CALLE;NUÑEZ DE BALBOA;70;;442119.26;4475759.69;43179;-3.682382;40.4304627;CALLE NUÑEZ DE BALBOA,70
20098AS;4;SALAMANCA;AVENIDA;TOREROS;79;;443895.90;4475983.52;43500;-3.6614575;40.4326009;AVENIDA TOREROS,79
20047AS;5;CHAMARTIN;PLAZA;CASTILLA;9;;441606.46;4479655.68;42754;-3.6887855;40.4655237;PLAZA CASTILLA,9
